character,universe
Black Cat (Marvel Comics),marvel
Black Tom Cassidy,marvel
Thunderer (Marvel Comics),marvel
Cottonmouth (Cornell Cottonmouth),marvel
Darwin (comics),marvel
Frenchie (comics),marvel
Mister Hyde (comics),marvel
Ocean (Marvel Comics),marvel
Frankenstein's Monster (Marvel Comics),marvel
Hermes (Marvel Comics),marvel
Arno Stark,marvel
Doctor Strange,marvel
Lady Dorma,marvel
Lin Lie,marvel
Mongoose (comics),marvel
Skrull Kill Krew,marvel
Russian (comics),marvel
Scarecrow (Marvel Comics),marvel
Phil Coulson,marvel
Heimdall (comics),marvel
Demon Bear,marvel
June Covington,marvel
Sprite (Eternal),marvel
Thunderball (comics),marvel
Wraith (Brian DeWolff),marvel
Fancy Dan,marvel
Nomad (comics),marvel
Graviton (comics),marvel
Songbird (comics),marvel
Ben Urich,marvel
Alex Power,marvel
Richard Fisk,marvel
Machete (comics),marvel
Death Adder (comics),marvel
Armadillo (comics),marvel
Prometheus (Marvel Comics),marvel
Centurious,marvel
Happy Hogan (comics),marvel
Jack Power (Marvel Comics),marvel
Riri Williams,marvel
Erik Killmonger,marvel
Golem (comics),marvel
Korath the Pursuer,marvel
Thundersword,marvel
War (Marvel Comics),marvel
Big Bertha (comics),marvel
Magneto (Marvel Comics),marvel
Kala (comics),marvel
Black Panther (character)|T'Challa (Marvel Cinematic Universe),marvel
Rockslide (comics),marvel
Mind-Wave,marvel
Wong (comics),marvel
Bloodhawk,marvel
Shockwave (comics),marvel
Smuggler (comics),marvel
Crime Master,marvel
Namor the Sub-Mariner,marvel
Tombstone (comics),marvel
Red Raven (Marvel Comics),marvel
Iron Man 2020,marvel
Silencer (comics),marvel
Amadeus Cho,marvel
White Tiger (comics),marvel
Hate-Monger,marvel
MODOK,marvel
Donald & Deborah Ritter,marvel
Madman (Marvel Comics),marvel
Mauler (comics),marvel
Stepford Cuckoos,marvel
Destiny (Irene Adler),marvel
Trance (comics),marvel
Fin Fang Foom,marvel
3-D Man,marvel
Jamie Madrox,marvel
Crusher (comics),marvel
Box (comics),marvel
Microchip (comics),marvel
Rhapsody (comics),marvel
Hebe (Marvel Comics),marvel
Hellrazor,marvel
Reignfire,marvel
Bushmaster (Marvel Comics),marvel
J.A.R.V.I.S.,marvel
Xorn,marvel
Graydon Creed,marvel
Gregory Herd,marvel
Gideon (comics),marvel
Brothers Grimm (comics),marvel
Captain Ultra,marvel
Asp (comics),marvel
Karl Malus,marvel
Mangog,marvel
Wendigo (comics),marvel
Prowler (Marvel Comics),marvel
Pip the Troll,marvel
Grey Gargoyle,marvel
Thundra,marvel
Stingray (comics),marvel
Coal Tiger,marvel
Doop (comics),marvel
Whirlwind (comics),marvel
Thena,marvel
Lord Dark Wind,marvel
Cyclone (Marvel Comics),marvel
Anne Weying,marvel
Weapon H,marvel
Henry Pym,marvel
Skull the Slayer,marvel
Ursa Major (comics),marvel
Lifeguard (comics),marvel
Lady Bullseye,marvel
Sunpyre,marvel
Karkas (comics),marvel
Iron Fist (comics),marvel
Blonde Phantom,marvel
Colleen Wing,marvel
White Dragon (comics),marvel
Seamus Mellencamp,marvel
Groot,marvel
Salem's Seven,marvel
Shriek (comics),marvel
Puma (comics),marvel
Angela (comics),marvel
Invisible Woman,marvel
Hijacker (comics),marvel
Blade (character),marvel
Turner D. Century,marvel
Constrictor (comics),marvel
Doctor Spectrum,marvel
Korvac,marvel
Damon Dran,marvel
Jester (Marvel Comics),marvel
Karen Page,marvel
Flex (comics),marvel
Laufey (comics),marvel
Diablo (Marvel Comics),marvel
Toro (comics),marvel
Dominic Fortune,marvel
Spider-Man,marvel
Junta (comics),marvel
Gargantua (comics),marvel
Styx and Stone,marvel
Kro (comics),marvel
Willie Lumpkin,marvel
Prudence Leighton,marvel
Mister X (Marvel Comics),marvel
Hammerhead (comics),marvel
Tai (comics),marvel
Tadashi Hamada,marvel
Fer-de-Lance (comics),marvel
Scream (comics),marvel
Emma Frost,marvel
Paul Budiansky,marvel
Madame Hydra,marvel
Powerhouse (comics),marvel
Foreigner (comics),marvel
Sydren,marvel
Miss America (Madeline Joyce),marvel
Phone Ranger,marvel
Piledriver (comics),marvel
Domino (comics),marvel
Elixir (comics),marvel
Zheng Zu,marvel
Nimrod (comics),marvel
Everyman (Marvel Comics),marvel
Baron Von Blitzschlag,marvel
Midas (comics),marvel
Henry Russo,marvel
Metal Master (comics),marvel
Gargoyle (comics),marvel
Brute (Reed Richards),marvel
Washout (comics),marvel
Devos the Devastator,marvel
Lord Chaos (Marvel Comics),marvel
Smasher (Marvel Comics),marvel
Black Fox (Raul Chalmers),marvel
Mikhail Rasputin,marvel
Gamesmaster (comics),marvel
Daniel Whitehall,marvel
Topaz (Marvel Comics),marvel
Leader (comics),marvel
Hydro-Man,marvel
Killpower,marvel
Jessica Jones,marvel
It! The Living Colossus,marvel
Mysterio,marvel
Debra Whitman,marvel
Friction (comics),marvel
Corvus Glaive,marvel
Doctor Minerva,marvel
Doughboy (comics),marvel
Zheng Bao Yu,marvel
Shocker (comics),marvel
Comanche (comics),marvel
Don Fortunato,marvel
Korg (comics),marvel
Ka-Zar (David Rand)|Ka-Zar (Kevin Plunder),marvel
Patsy Walker,marvel
Fin (comics),marvel
Scorcher (comics),marvel
Kismet (Marvel Comics),marvel
Super-Adaptoid,marvel
Loa (comics),marvel
Zeke Stane,marvel
Leila Davis,marvel
Baron Brimstone,marvel
Meanstreak (comics),marvel
Jack O'Lantern (Marvel Comics),marvel
Ghaur,marvel
Jim Wilson (comics),marvel
Wizard (Marvel Comics),marvel
Kaluu,marvel
Haywire (comics),marvel
Cannonball (comics),marvel
Contemplator (Marvel Comics),marvel
Prester John (comics),marvel
Turbo (comics),marvel
Ares (Marvel Comics),marvel
Robbie Baldwin,marvel
Prodigy (Ritchie Gilmore),marvel
Hogun,marvel
Dmitri Bukharin,marvel
Wonder Man,marvel
Piranha (comics),marvel
Conan (Marvel Comics),marvel
Professor X,marvel
Shaper of Worlds,marvel
Beautiful Dreamer (Marvel Comics),marvel
Rage (comics),marvel
Karthon the Quester,marvel
Ego the Living Planet,marvel
Daken,marvel
Titanium Man,marvel
Mentallo,marvel
Thunderbolt (Marvel Comics),marvel
Cardinal (comics),marvel
Commander Kraken,marvel
Raza Longknife,marvel
Karma (comics),marvel
Radioactive Man (comics),marvel
Elias Bogan,marvel
Abraham Whistler,marvel
Owl (Marvel Comics),marvel
Orka (comics),marvel
Old Man Logan,marvel
Adrienne Frost,marvel
Night Thrasher (Dwayne Taylor),marvel
Korrek,marvel
Professor Power,marvel
Mandarin (comics),marvel
Unicorn (Marvel Comics),marvel
Stained Glass Scarlet,marvel
Moon-Boy,marvel
Doctor Octopus,marvel
Mettle (comics),marvel
Sunturion,marvel
Slash (Marvel Comics),marvel
Two-Gun Kid,marvel
Red Guardian,marvel
Sasquatch (comics),marvel
Havok (comics),marvel
Juston Seyfert,marvel
Stegron,marvel
Black Knight (comics),marvel
Bova (comics),marvel
Iron Monger,marvel
Blazing Skull,marvel
Faiza Hussain,marvel
Pride (comics)#The Yorkes family,marvel
Madcap (comics),marvel
Swarm (comics),marvel
Shathra,marvel
Jasper Sitwell,marvel
Noble Kale,marvel
Diamondhead (comics),marvel
Daisy Johnson,marvel
Tarantula (Marvel Comics),marvel
Lee Forrester,marvel
Steeplejack (Marvel Comics),marvel
Kingpin (comics),marvel
D'Ken,marvel
Mojo (comics),marvel
Skin (Marvel Comics),marvel
Shinobi Shaw,marvel
Gatecrasher (Marvel Comics),marvel
Mad Thinker,marvel
Old Lace (comics),marvel
Frigga (Marvel Comics),marvel
Lloyd Bloch,marvel
Charcoal (comics),marvel
Peni Parker,marvel
Powderkeg (character),marvel
Death (Marvel Comics),marvel
American Dream (comics),marvel
Cobalt Man,marvel
Goom,marvel
Razor Fist,marvel
Hardball (comics),marvel
Runner (comics),marvel
Sunset Bain,marvel
Random (comics),marvel
Shepard (comics),marvel
White Rabbit (comics),marvel
Hellcow,marvel
Omega Red,marvel
Kenny McFarlane,marvel
Burglar (comics),marvel
Death Metal (comics),marvel
Blacklight (MC2),marvel
Devil-Slayer (comics),marvel
Sat-Yr-9,marvel
Silk (comics),marvel
Headsman (comics),marvel
Red Nine,marvel
Slipstream (comics),marvel
Thunderclap (comics),marvel
Red Ronin,marvel
American Eagle (Marvel Comics),marvel
Poundcakes,marvel
Kimura (comics),marvel
Diamond Lil (Marvel Comics),marvel
Whiplash (comics),marvel
Dinah Soar,marvel
Flash Thompson,marvel
Ghost Rider 2099,marvel
Punisher 2099,marvel
Air-Walker,marvel
Dakota North (comics),marvel
Vertigo (Marvel Comics),marvel
Sabra (comics),marvel
Melinda May,marvel
Isbisa,marvel
Dark Beast,marvel
Garrison Kane,marvel
Tigra,marvel
Pepper Potts,marvel
Mercurio the 4-D Man,marvel
Electro (Marvel Comics),marvel
Cardiac (comics),marvel
Edwin Cord,marvel
Brent Jackson,marvel
Byrrah,marvel
Mariko Yashida,marvel
Bushman (comics),marvel
Matthew Risman,marvel
Gorgilla,marvel
Penance (X-Men),marvel
Firebrand (Marvel Comics),marvel
Stevie Hunter,marvel
High Evolutionary,marvel
Evangeline Whedon,marvel
Silver Fox (comics),marvel
Talisman (Alpha Flight),marvel
Falcon (comics)|Sam Wilson (Marvel Cinematic Universe),marvel
Bella Donna (comics),marvel
Krystalin,marvel
Obliterator (comics),marvel
Gwenpool,marvel
Jocasta (comics),marvel
Major Mapleleaf,marvel
Jazinda,marvel
Ben Reilly,marvel
Adam Warlock,marvel
Gigantus,marvel
Danielle Moonstar,marvel
Gateway (comics),marvel
Kid Colt,marvel
Carrion (comics),marvel
Outlaw Kid,marvel
Typeface (comics),marvel
Mutant Liberation Front,marvel
Harry Osborn|Harry Osborn (Sam Raimi film series),marvel
Trevor Slattery,marvel
Damian Tryp,marvel
Malice (comics),marvel
Archie Corrigan,marvel
Black Bolt,marvel
Red Sonja,marvel
Master Menace,marvel
Orphan (Marvel Comics),marvel
Humbug (comics),marvel
Puppet Master (Marvel Comics),marvel
Silver Surfer,marvel
Living Lightning,marvel
Gwen Stacy|Spider-Woman (Gwen Stacy)|Gwen Stacy (The Amazing Spider-Man film series),marvel
Silverclaw,marvel
Bling!,marvel
Arcade (Marvel Comics),marvel
Scourge of the Underworld,marvel
Cloak and Dagger (comics),marvel
Mahr Vehl,marvel
Blackheart,marvel
Genesis (Marvel Comics),marvel
Wild Child (comics),marvel
Orchid (comics),marvel
Jamie Braddock,marvel
Tana Nile,marvel
Alexander Bont,marvel
Plantman,marvel
Griffin (Marvel Comics),marvel
Khonshu (Marvel Comics),marvel
Johnny Dee,marvel
Deathbird,marvel
Stranger (comics),marvel
Mole Man,marvel
Storm (Marvel Comics),marvel
Orrgo,marvel
Star Thief,marvel
Magik (comics),marvel
Flying Tiger (Marvel Comics),marvel
Doctor Nemesis,marvel
Slab (comics),marvel
Rockman (comics),marvel
Scarlet Scarab,marvel
Erik Selvig,marvel
Kwannon (character),marvel
Scuzz (comics),marvel
Rictor,marvel
Thor (Marvel Comics),marvel
G. W. Bridge,marvel
Melter,marvel
Hyperion (comics),marvel
Black Crow (comics),marvel
Janus (Marvel Comics),marvel
Lorelei (Mutate),marvel
Shingen Yashida,marvel
Matsu'o Tsurayaba,marvel
Caliban (comics),marvel
Impossible Man,marvel
Bloodstrike (Marvel Comics),marvel
Swordsman (comics),marvel
Headlok,marvel
Transonic (comics),marvel
Nth Man,marvel
Umar (Marvel Comics),marvel
"Morbius, the Living Vampire",marvel
Smartship Friday,marvel
Gabe Jones,marvel
Betsy Braddock,marvel
Serafina (Marvel),marvel
Mimic (comics),marvel
Stacy X,marvel
Crimson Commando,marvel
Howard the Duck,marvel
Wong-Chu,marvel
Sleeper (Marvel Comics),marvel
Polestar (comics),marvel
Mad Dog (Marvel Comics),marvel
Thor Girl,marvel
Bird-Man,marvel
Uncle Ben,marvel
Jack Murdock (comics),marvel
Scaleface,marvel
Kevin Sydney,marvel
Maximus (comics),marvel
Skids (comics),marvel
Sebastian Shaw (comics),marvel
Phil Urich,marvel
Carlie Cooper,marvel
Tarzan in comics#Marvel Comics,marvel
Gladiator (Melvin Potter),marvel
Skein (comics),marvel
Ghost (Marvel Comics),marvel
Miriam Sharpe,marvel
Jim Morita,marvel
Gibborim (comics),marvel
Digitek (comics),marvel
Black Racer (Marvel Comics),marvel
Alistair Smythe,marvel
Ocelot (comics),marvel
Elloe Kaifi,marvel
Quicksilver (comics),marvel
Hurricane (comics),marvel
Colossus (comics),marvel
Crimson Dynamo,marvel
La Lunatica,marvel
Sersi,marvel
Jarella,marvel
Cerebra,marvel
Jann of the Jungle,marvel
Angel Salvadore,marvel
Triton (comics),marvel
Spider-Slayer,marvel
Punisher,marvel
Leo Fitz,marvel
Ozone (comics),marvel
Robert Kelly (comics),marvel
She-Hulk,marvel
Litterbug (comics),marvel
Captain Britain,marvel
Scientist Supreme#Victorius,marvel
J'son (character),marvel
Snake Marston (comics),marvel
Anti-Venom (symbiote),marvel
Sputnik (comics),marvel
Thermite (comics),marvel
Iron Lad,marvel
Freakshow (comics),marvel
Prism (comics),marvel
Black Box (comics),marvel
Nightmask,marvel
Doc Samson,marvel
Elsa Bloodstone,marvel
Alex Wilder,marvel
Merlyn (Marvel Comics),marvel
Ethan Edwards,marvel
Genis-Vell,marvel
Maggie Murdock,marvel
Living Brain,marvel
Midnight's Fire,marvel
Rocket Racer,marvel
Vermin (comics),marvel
Terrax,marvel
Amatsu-Mikaboshi (comics),marvel
Jean Grey,marvel
Ravage (Marvel Comics),marvel
Roughouse,marvel
Man-Killer,marvel
Forge (comics),marvel
George Stacy,marvel
Nova (Frankie Raye),marvel
Lionheart (comics),marvel
Iron Patriot,marvel
Shooting Star (comics),marvel
Charon (Marvel Comics),marvel
Tatiana Caban,marvel
Rampage (Marvel Comics),marvel
Nick Fury|Nick Fury (Ultimate Marvel character)|Nick Fury (Marvel Cinematic Universe),marvel
Valentina Allegra de Fontaine,marvel
Valeria Richards,marvel
Ikaris,marvel
Death Web (comics),marvel
Kid Omega,marvel
Nick Fury Jr.,marvel
Skaar (character),marvel
Spider-UK,marvel
Living Monolith,marvel
David Moreau,marvel
Tom Corsi,marvel
Pyro (Marvel Comics),marvel
Miss Arrow,marvel
Maria Stark,marvel
Freedom Ring,marvel
Sharon Friedlander,marvel
Silver Dagger (comics),marvel
Spirit of '76 (Marvel Comics),marvel
Western Kid,marvel
Klara Prast,marvel
Cipher (comics),marvel
Fabian Cortez,marvel
Mentor (A'lars),marvel
